ID,Start time,Completion time,Email,Name,Last modified time,Primary contact full name,Primary contact email,Primary contact phone number,Second contact full name,Second contact email address,Company name,Have you sponsored a meeting in the past?,January,February,March,April,May,June,July,August,September,October,December,Do you want to enter the lottery to purchase a web site banner ad?  You will get your company tag line placed directly beneath the menu bar on each page on the site with a link to your site.  The ...,Do you plan to host the meeting at your location?,Are you planning to provide your own speaker?,What feedback do you have about about this sign-up process?
1,11/10/23 9:51:54,11/10/23 9:53:19,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor1,Yes,2,1,1,1,2,0,0,1,1,1,1,No,Yes,Yes,
2,11/13/23 9:21:47,11/13/23 9:33:06,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor2,Yes,0,0,0,0,2,3,3,3,0,0,0,No,No,Yes,
3,11/13/23 12:01:54,11/13/23 12:06:14,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor3,Yes,0,0,4,0,4,0,0,2,1,0,0,No,Yes,Yes,
4,11/13/23 13:42:25,11/13/23 15:51:33,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor4,Yes,0,0,0,4,0,4,3,0,0,0,0,No,Yes,No,NA
5,11/13/23 16:05:59,11/13/23 16:10:32,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor5,Yes,0,0,0,4,3,0,0,0,4,0,0,No,Yes,Yes,None.
6,11/14/23 15:20:11,11/14/23 15:28:02,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor6,Yes,0,0,0,2,2,2,2,2,1,0,0,Yes,Yes,Yes,NA
7,11/14/23 19:07:19,11/14/23 19:10:23,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor7,Yes,1,1,1,1,1,1,1,1,1,1,1,No,Yes,Yes,
8,11/14/23 23:15:19,11/14/23 23:27:21,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor8,No,1,1,0,1,1,1,0,1,1,1,0,No,No,Yes,
9,11/15/23 13:48:35,11/15/23 13:53:25,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor9,No,0,0,0,1,0,0,0,6,3,0,1,No,Yes,Yes,
10,11/16/23 15:10:21,11/16/23 15:59:47,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor10,No,0,0,3,3,0,0,0,0,3,2,0,Yes,Yes,Yes,
11,11/16/23 22:54:16,11/16/23 22:56:01,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor11,Yes,0,0,3,4,4,0,0,0,0,0,0,No,No,Yes,
12,11/21/23 17:27:58,11/21/23 17:30:35,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor12,Yes,0,1,3,1,0,1,1,0,1,2,1,No,No,Yes,
13,11/25/23 14:37:12,11/25/23 14:54:38,anonymous,,,John Doe,jdoe@name.com,555.555.5555,John Doe,jdoe@name.com,Sponsor13,Yes,0,0,0,0,0,0,0,4,4,3,0,Yes,Yes,Yes,
